C;C^;D;D^;E;F;F^;G;G^;A;A^;B;
0.20231092;0.32296175;0.63768303;0.27123353;0.21799001;0.36731705;1.0;0.34221533;0.21150878;0.29195768;0.29185894;0.18497027;
0.22346891;0.3529279;0.6735455;0.29777312;0.23594867;0.36199296;1.0;0.34391233;0.23126087;0.3111922;0.28863263;0.1892624;
0.24214797;0.3493967;0.68448746;0.30433196;0.22622693;0.3554295;1.0;0.35449243;0.22987388;0.33549243;0.29205215;0.19409452;
0.24406068;0.3654887;0.6962741;0.2952583;0.2218865;0.35283363;1.0;0.35138577;0.2469591;0.3494307;0.30628264;0.19963215;
0.22596984;0.36795878;0.68667126;0.29330513;0.23182777;0.35562596;1.0;0.35260183;0.25009656;0.3691015;0.31643543;0.18470491;
0.23984258;0.3709421;0.7099577;0.31835392;0.22110192;0.371923;1.0;0.3607531;0.24616347;0.36467972;0.30151808;0.20608842;
0.2680074;0.37764418;0.73896617;0.32770142;0.24972741;0.3763581;1.0;0.3721272;0.24200626;0.3842861;0.313885;0.21337138;
0.26585573;0.3954591;0.75186414;0.33710048;0.23744439;0.36658022;1.0;0.36206108;0.2363432;0.39682096;0.30367047;0.20960054;
0.2743305;0.38043645;0.71670276;0.32686588;0.21076362;0.37892285;1.0;0.4267612;0.27860576;0.3862983;0.30572274;0.22045219;
0.31864938;0.4745174;0.732352;0.4157592;0.29309833;0.44192037;1.0;0.5712176;0.3321879;0.4204618;0.39897734;0.27948338;
0.4951971;0.7700819;0.9721689;0.6768024;0.5310368;0.6254402;1.0;0.7629455;0.58498836;0.70772046;0.6337913;0.43492875;
0.49492162;0.6009907;0.80093133;0.56446856;0.52580106;0.57976556;1.0;0.6262706;0.5378922;0.60638773;0.5614321;0.3971368;
0.4772229;0.5038671;0.67150974;0.48713008;0.58098555;0.5332129;1.0;0.52333057;0.49316016;0.49148247;0.45674926;0.37671807;
0.5483326;0.6034789;0.86067337;0.68588245;0.84127766;0.5433325;1.0;0.5091585;0.55173147;0.7121356;0.6539379;0.4193829;
0.49271795;0.5777501;0.80380166;0.6438917;0.84462065;0.5018403;0.7992841;0.3980006;0.5992627;1.0;0.7551846;0.34868088;
0.4410321;0.48722285;0.64882475;0.50708526;0.756321;0.43804178;0.7414991;0.31927308;0.5498873;1.0;0.69285023;0.3341313;
0.43407652;0.44869047;0.64240766;0.4816751;0.70474565;0.4376938;0.8704665;0.32108015;0.5765294;1.0;0.68969077;0.3294693;
0.42989734;0.4994563;0.6949339;0.49644578;0.6780563;0.42268175;0.93029994;0.32217634;0.58734065;1.0;0.7124639;0.3348538;
0.41584137;0.5180447;0.70625794;0.49941364;0.6340618;0.36087087;0.8931948;0.31588164;0.54665273;1.0;0.7112918;0.33992937;
0.38425478;0.47829834;0.7057212;0.4982538;0.6564725;0.30767283;0.72987396;0.30361825;0.5579445;1.0;0.69265693;0.3176258;
0.41605017;0.49415663;0.7651964;0.528781;0.6580599;0.26802897;0.53876346;0.30625564;0.6031586;1.0;0.64207023;0.31705526;
0.48329616;0.550917;0.8473708;0.5650824;0.63089216;0.30390245;0.6467267;0.36924705;0.6382458;1.0;0.74234575;0.37660968;
